"","Female_18over_pt","Pop_20_24_18over_pt","Pop_25_44_18over_pt","Pop_45_64_18over_pt","Pop_65_84_18over_pt","Pop_85over_18over_pt","Hispanic_pt","NH_White_pt","NH_Black_pt","EduLHigh_18over_pt","Poverty_18over_pt","Insured_19over_pt","MHI","CHD","CSMOKING","BPHIGH","HIGHCHOL","OBESITY","DIABETES","Latitude","Longitude","Metric_2.5km","Metric_5km","Metric_11.1km"
"8985",49.12446758,9.607193564,30.24136299,33.79081874,19.0724089,3.40747752,14.59532679,66.37317982,15.98374534,16.75343114,18.54238969,73.41708543,47348,9.1,21.4,38.6,38,36.9,13.8,31.79321,-94.52804,0,0,0
"8986",51.87275526,7.465366855,27.50128271,39.17393535,22.88353002,1.154438173,7.935863609,81.91597321,6.799269332,13.57106208,16.75218061,82.95395758,51828,8.9,21.5,38.4,38.7,37,13.8,31.73553,-94.83552,0,0,0
"8987",53.55233002,7.639419404,34.41558442,34.30099312,17.818945762,3.896103896,26.91795418,66.39584443,3.609483218,26.71886937,16.85305081,77.16269841,46908,8.6,23,36.5,36.8,38,13.7,31.5629,-94.73755,0,0,0
"8988",48.85993485,9.272529859,34.31053203,37.9587405,15.048859931,0.716612378,44.39126533,39.99401735,9.557283877,26.66666667,22.83464567,69.08170007,43794,7,22.4,32.9,33.2,39.9,13,31.51408,-94.58861,0,0,0
"8989",52.19021646,3.016874041,29.87898415,37.25924663,26.367820011,1.124936083,9.262435678,78.49320491,9.988125082,8.164308846,5.522413499,89.30720303,75969,6.7,15.6,34.6,36.1,33.3,11,31.6883,-94.5717,0,0,0
"8990",56.26252505,24.5490982,32.06412826,17.88577154,17.134268536,4.108216433,6.753990995,67.29431027,23.25010233,4.609218437,26.99386503,80.28248588,38875,8.8,16.9,36.2,35.1,34.8,13,31.64924,-94.64841,0,0,0
"8991",52.24398711,20.08430449,26.03520952,28.04363997,18.026283161,3.595338458,8.291937333,77.11119603,3.43905235,1.636498884,15.0895786,91.12636664,50774,5.7,12.7,28.9,31.7,29.5,8.7,31.64072,-94.62972,0,0,0
"8992",56.44086188,41.59045109,12.10665013,2.805766548,1.41063401,0.155014726,15.46101393,54.03201897,27.72013045,2.588745931,39.28738865,76.37098326,25531,1.8,18.3,16,13.6,31.5,3.8,31.62433,-94.64972,0,0,0
"8993",56.04876524,12.34760863,42.38824633,27.41481713,12.816505158,1.344170053,29.7029703,25.78657866,40.220022,22.81963113,36.33080534,67.7386247,24406,7.9,27.1,36,31.8,44.7,16.2,31.63231,-94.67,0,0,0
"8994",49.40944882,7.755905512,35.90551181,35.47244094,15.393700789,1.377952756,44.09676571,30.81777544,21.85117013,27.91338583,19.37299035,62.70627063,41360,7.3,22.2,35.7,34.2,39.2,13.2,31.58997,-94.66892,0,0,0
"8995",56.66666667,8.926553672,29.83050847,34.91525424,15.480225994,1.073446328,11.85124642,8.827135268,79.32161831,22.03389831,47.23163842,65.89945488,21555,11,31.4,49.5,37.1,52.7,24.5,31.58902,-94.64292,0,0,0
"8996",57.4240105,49.39864422,22.91712224,15.72272031,8.921933085,2.383555653,13.10283688,55.44326241,26.61347518,4.65777389,48.2940788,82.029692,24033,5.8,19.2,28.6,28.1,36.2,10.4,31.60987,-94.61909,0,0,0
